,ts_year,model,te_true,te_hat,error
1379,1979,dml,28.365810198117288,25.716575478176672,-2.6492347199406154
1380,1980,dml,28.73961684173832,26.601633870013725,-2.1379829717245933
1381,1981,dml,30.10647300765045,29.244007779637805,-0.862465228012649
1382,1982,dml,30.5456630217273,28.705864807442776,-1.8397982142845244
1383,1983,dml,29.525801386423897,27.438489026627312,-2.0873123597965844
1384,1984,dml,30.63836226742645,30.21961734242952,-0.418744924996929
1385,1985,dml,31.080768009045705,30.811464161116543,-0.2693038479291587
1386,1986,dml,31.80475784509875,32.07957983591402,0.2748219908152691
1387,1987,dml,32.03834447776365,32.680610982130766,0.6422665043671145
1388,1988,dml,33.32090882331833,31.67596086554661,-1.6449479577717128
1389,1989,dml,34.94869537857435,33.088000590062926,-1.860694788511424
1390,1990,dml,31.551358808915477,32.21146378524043,0.6601049763249591
1391,1991,dml,32.912566657308,31.98405361382223,-0.9285130434857684
1392,1992,dml,34.245790215983355,32.82028052611567,-1.4255096898676882
1393,1993,dml,34.63104574238686,33.4310015040638,-1.2000442383230592
1394,1994,dml,35.02888095700414,36.02047338139452,0.991592424390376
1395,1995,dml,35.26226260284506,33.2328451441141,-2.029417458730961
1396,1996,dml,37.40044048974882,37.31254322467266,-0.0878972650761653
1397,1997,dml,36.79185917821584,34.21968931138579,-2.572169866830052
1398,1998,dml,36.57081142993031,34.46961059814391,-2.1012008317864
1399,1999,dml,37.859188405069645,37.26285259873541,-0.5963358063342312
1400,1900,dml,15.259624071648956,15.069614415026866,-0.1900096566220899
1401,1901,dml,15.434414244466996,14.83899414099677,-0.5954201034702251
1402,1902,dml,15.280299661917708,14.893700218938829,-0.3865994429788806
1403,1903,dml,15.193087927276112,14.97132893238669,-0.2217589948894218
1404,1904,dml,15.411729677182237,14.786983895440253,-0.6247457817419839
1405,1905,dml,14.945983930400846,14.626902041580935,-0.3190818888199107
1406,1906,dml,14.973209814329383,14.88966902875324,-0.0835407855761456
1407,1907,dml,15.458947108088111,14.718506761116892,-0.7404403469712193
1408,1908,dml,15.361049659102472,14.731767312566564,-0.6292823465359074
1409,1909,dml,15.288571910404826,14.65758857775,-0.6309833326548251
1410,1910,dml,15.39682108216846,14.49031860543196,-0.9065024767364988
1411,1911,dml,15.417733353765003,14.780357500562763,-0.63737585320224
1412,1912,dml,15.218065192179186,14.349789028490068,-0.8682761636891172
1413,1913,dml,15.580555929407144,14.598259899306075,-0.98229603010107
1414,1914,dml,15.760106404622729,14.66532336167226,-1.0947830429504677
1415,1915,dml,15.71964730614039,14.87109333283588,-0.8485539733045098
1416,1916,dml,15.728038471031018,14.691862752487896,-1.036175718543122
1417,1917,dml,15.744727400404942,14.78246154433234,-0.9622658560726034
1418,1918,dml,15.986620456812236,14.73216945227278,-1.2544510045394563
1419,1919,dml,16.096643283684227,15.04368968879954,-1.0529535948846878
1420,1920,dml,16.332422485829238,14.899835904997069,-1.4325865808321687
1421,1921,dml,15.858244750605849,14.744156381284377,-1.1140883693214718
1422,1922,dml,16.10270522570258,14.9270477420401,-1.1756574836624782
1423,1923,dml,16.546905017262958,15.27256439678484,-1.2743406204781191
1424,1924,dml,16.213437351821636,14.933235233991052,-1.2802021178305836
1425,1925,dml,16.534798728197366,14.980136038400207,-1.5546626897971585
1426,1926,dml,17.008008853227814,15.205023622989248,-1.8029852302385676
1427,1927,dml,16.736100339576872,15.17443738456511,-1.5616629550117622
1428,1928,dml,16.974499082824483,15.228662950607744,-1.7458361322167395
1429,1929,dml,17.381310991842916,15.458385792409658,-1.9229251994332583
1430,1930,dml,17.620130970236932,15.7524813155283,-1.8676496547086323
1431,1931,dml,17.338381954630737,15.772541969681845,-1.5658399849488926
1432,1932,dml,17.545158218035834,15.719753065544449,-1.8254051524913864
1433,1933,dml,17.691749703251183,15.888259275563112,-1.8034904276880697
1434,1934,dml,17.979435735133304,16.346964690094612,-1.6324710450386917
1435,1935,dml,18.39422836645221,16.444470359278856,-1.9497580071733545
1436,1936,dml,18.59974272575333,16.771228741244627,-1.8285139845087064
1437,1937,dml,18.153140923009254,16.34315863834819,-1.8099822846610645
1438,1938,dml,18.62097594519601,16.939802660442517,-1.6811732847534984
1439,1939,dml,18.776000816818428,17.1958390351498,-1.5801617816686289
1440,1940,dml,19.25447342980329,17.35278274793812,-1.9016906818651729
1441,1941,dml,19.44625825181576,17.640396216223333,-1.8058620355924264
1442,1942,dml,19.423791740369044,17.813939686719323,-1.6098520536497212
1443,1943,dml,19.830911776156334,17.730823084843784,-2.1000886913125534
1444,1944,dml,19.967125568445297,17.665982065394463,-2.3011435030508345
1445,1945,dml,20.479698606075964,18.167195856674716,-2.3125027494012507
1446,1946,dml,20.3786076316641,18.24625761835024,-2.132350013313861
1447,1947,dml,20.627134667375238,18.753695308761685,-1.873439358613549
1448,1948,dml,20.588943178399937,18.572338392550197,-2.016604785849744
1449,1949,dml,21.648490039111127,19.60306539996984,-2.045424639141292
1450,1950,dml,21.561352492530244,19.883252076051814,-1.6781004164784257
1451,1951,dml,21.62836748097821,19.307909756795976,-2.320457724182233
1452,1952,dml,21.52680222148669,19.46842364799152,-2.058378573495176
1453,1953,dml,22.257446128404908,19.931377833696065,-2.326068294708844
1454,1954,dml,21.73652659688549,19.83031932535261,-1.9062072715328784
1455,1955,dml,22.30082768952735,20.564062582264494,-1.7367651072628512
1456,1956,dml,23.14752690283748,20.810750238042147,-2.336776664795334
1457,1957,dml,22.85729455802197,21.44239555997131,-1.4148989980506563
1458,1958,dml,23.039087568402024,21.3162929310378,-1.7227946373642276
1459,1959,dml,23.751793655682544,21.79796713304235,-1.9538265226401956
1460,1960,dml,24.08450900523088,21.99909189027556,-2.085417114955316
1461,1961,dml,23.914077579087166,22.208506259034877,-1.705571320052293
1462,1962,dml,24.23215507902373,22.45149168196565,-1.7806633970580847
1463,1963,dml,25.458428928798725,23.33593329171018,-2.1224956370885444
1464,1964,dml,25.2909886186029,23.18391087701468,-2.107077741588217
1465,1965,dml,25.70609353242221,23.490205832327,-2.2158877000952124
1466,1966,dml,26.20995872504288,24.34766044304099,-1.862298282001888
1467,1967,dml,26.022088953817537,23.85401241961719,-2.1680765342003454
1468,1968,dml,26.359574447975795,24.57839225626312,-1.781182191712677
1469,1969,dml,27.23590734377165,25.22352017445718,-2.0123871693144686
1470,1970,dml,27.03633622776216,25.15699590380683,-1.8793403239553288
1471,1971,dml,27.949272397511105,26.02656855932676,-1.922703838184347
1472,1972,dml,27.54624480212069,26.575569685006908,-0.9706751171137782
1473,1973,dml,28.584701273585036,26.85748435916122,-1.7272169144238134
1474,1974,dml,29.27223427355452,27.62788101666483,-1.6443532568896906
1475,1975,dml,29.635180942531814,28.20562377240294,-1.4295571701288772
1476,1976,dml,29.932614992453665,28.38621187559547,-1.546403116858194
1477,1977,dml,30.7599263388878,29.070595248130505,-1.6893310907572925
1478,1978,dml,30.00944165414051,27.809957760399964,-2.199483893740545
1479,1979,dml,30.502405126581326,29.28745821709436,-1.2149469094869652
1480,1980,dml,31.202536841021853,30.094509657693106,-1.1080271833287512
1481,1981,dml,31.65097756512505,29.80665214097873,-1.844325424146316
1482,1982,dml,32.26756334915625,30.46499174976595,-1.8025715993902975
1483,1983,dml,32.77775846476683,31.13074957701427,-1.6470088877525626
1484,1984,dml,33.42371278894269,32.06448968609772,-1.3592231028449715
