wbcode2,year,y,unrest,dem,logpop,pop14,pop1564,tradewb,nfagdp,democ,rever,l1,l2,l3,l4
149,1988,897.45111083984375,0,1,1612.0054730707818,21.8390071718893,65.1509799103029,61.019866943359375,-22.2,1,0,890.12518310546875,883.91217041015625,879.9456787109375,877.450439453125
149,1989,903.8387451171875,0,1,1611.8595525999972,21.1565250803657,65.5100532547952,66.27678680419922,-20.3,1,0,897.45111083984375,890.12518310546875,883.91217041015625,879.9456787109375
149,1990,907.93121337890625,0,1,1611.6416041203245,20.4862451858226,65.8572590024649,65.81373596191406,-14.3,1,0,903.8387451171875,897.45111083984375,890.12518310546875,883.91217041015625
149,1991,912.3604736328125,0,1,1611.4111223659947,19.8699459734596,66.1950453167815,63.64677810668945,-11.4,1,0,907.93121337890625,903.8387451171875,897.45111083984375,890.12518310546875
149,1992,913.42327880859375,0,1,1611.3333730992824,19.2900331754465,66.5061247403627,59.412315368652344,-9.5,1,0,912.3604736328125,907.93121337890625,903.8387451171875,897.45111083984375
149,1993,911.23211669921875,0,1,1611.4556896947654,18.7531616645445,66.7817048616438,56.52568817138672,-9.5,1,0,913.42327880859375,912.3604736328125,907.93121337890625,903.8387451171875
149,1994,911.977294921875,0,1,1611.7247791627158,18.2478671663212,67.0254843725083,56.779415130615234,-13,1,0,911.23211669921875,913.42327880859375,912.3604736328125,907.93121337890625
149,1995,915.9083251953125,0,1,1612.0709831010179,17.762516804451,67.2424110459257,59.94211196899414,-16.3,1,0,911.977294921875,911.23211669921875,913.42327880859375,912.3604736328125
149,1996,919.2567138671875,0,1,1612.4469792883576,17.4094823263078,67.3592994456019,61.109256744384766,-13,1,0,915.9083251953125,911.977294921875,911.23211669921875,913.42327880859375
149,1997,923.2391357421875,0,1,1612.8934398933288,17.0349171064943,67.4833867504647,62.12962341308594,-19.3,1,0,919.2567138671875,915.9083251953125,911.977294921875,911.23211669921875
149,1998,927.87225341796875,0,1,1613.3988291267115,16.6582404339543,67.5977882609962,63.832008361816406,-28.8,1,0,923.2391357421875,919.2567138671875,915.9083251953125,911.977294921875
149,1999,931.4444580078125,0,1,1613.9644595691468,16.3167748512761,67.6751263700364,64.266998291015625,-33,1,0,927.87225341796875,923.2391357421875,919.2567138671875,915.9083251953125
149,2000,934.7568359375,0,1,1614.6673195224662,16.0363989367364,67.6982688789908,66.34638977050781,-42.8,1,0,931.4444580078125,927.87225341796875,923.2391357421875,919.2567138671875
149,2001,936.057861328125,0,1,1615.3725501597896,15.8354038961237,67.690509621516,68.00074768066406,-49.3,1,0,934.7568359375,931.4444580078125,927.87225341796875,923.2391357421875
149,2002,936.08941650390625,0,1,1615.9202180994505,15.6993495867797,67.6333628899671,65.92274475097656,-65.1,1,0,936.057861328125,934.7568359375,931.4444580078125,927.87225341796875
149,2003,934.4755859375,0,1,1616.2956295143065,15.615991639203,67.5374388291808,63.5272216796875,-69.3,1,0,936.08941650390625,936.057861328125,934.7568359375,931.4444580078125
